artist,song,duration_ms,genre,year,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
Montell Jordan,Get It On Tonite,276266,hip hop; pop; R&B,1999,59,0.813,0.491,10,-9.923,0,0.077,0.241,4.61E-05,0.0817,0.868,99.008
Kylie Minogue,Spinning Around,207866,pop; Dance/Electronic,2000,55,0.761,0.662,6,-7.645,0,0.0548,0.292,6.19E-05,0.0956,0.631,120.043
JAY-Z,Big Pimpin',283066,hip hop,1999,69,0.88,0.814,11,-6.307,0,0.14,0.168,0.00672,0.0584,0.942,138.083
LeAnn Rimes,I Need You,229826,pop; country,2001,61,0.478,0.736,7,-7.124,1,0.0367,0.02,9.58E-05,0.118,0.564,144.705
Avant,Separated,255600,pop; R&B,2000,55,0.798,0.48,0,-5.564,1,0.0276,0.247,0,0.237,0.643,108.241
Enrique Iglesias,Be With You,219360,pop; latin,1999,54,0.683,0.866,1,-5.436,0,0.0329,0.0395,0.00161,0.0483,0.542,121.996
Toni Braxton,He Wasn't Man Enough,261933,pop; R&B,2000,66,0.739,0.947,11,-1.916,0,0.0411,0.00916,3.14E-05,0.326,0.766,88.009
Bow Wow,Bounce With Me (feat. Xscape) - Edited Album Version,175893,hip hop; pop; R&B,2000,36,0.852,0.75,8,-5.153,1,0.168,0.434,0,0.265,0.934,72.016
Dr. Dre,Forgot About Dre,222293,hip hop,1999,79,0.924,0.74,8,-1.299,1,0.0774,0.0827,0,0.163,0.621,133.974
Missy Elliott,Hot Boyz,215466,hip hop; pop; R&B,1998,49,0.727,0.445,1,-11.241,1,0.291,0.339,0,0.18,0.527,81.125
Backstreet Boys,Show Me the Meaning of Being Lonely,234960,pop,1999,68,0.63,0.625,6,-5.088,0,0.0252,0.231,0,0.0765,0.683,167.998
Samantha Mumba,Gotta Tell You,201946,pop,2018,43,0.729,0.632,0,-8.75,0,0.0279,0.191,0,0.166,0.774,109.981
Mýa,Case Of The Ex (Whatcha Gonna Do),236906,pop; R&B,2000,59,0.772,0.688,1,-4.715,0,0.0405,0.0548,9.79E-05,0.0725,0.348,98
Mary Mary,Shackles (Praise You),198346,R&B,2000,64,0.779,0.834,7,-2.773,1,0.162,0.0343,0,0.0886,0.8,100.46
Next,Wifey,243666,hip hop; pop; R&B,2004,52,0.829,0.652,7,-8.693,0,0.108,0.067,0,0.0812,0.726,99.581
Janet Jackson,Doesn't Really Matter,265026,pop; R&B,2001,47,0.771,0.796,5,-3.081,0,0.076,0.0993,0.00278,0.0981,0.801,99.316
Ricky Martin,She Bangs - English Version,280626,pop; latin,2000,60,0.63,0.95,1,-4.012,1,0.0806,0.000915,6.51E-06,0.373,0.858,143.866
Jagged Edge,He Can't Love U,244053,hip hop; pop; R&B,2000,55,0.721,0.836,8,-3.972,0,0.206,0.112,0,0.235,0.508,126.279
Sisqo,Incomplete,274226,hip hop; pop; R&B,1999,60,0.746,0.443,1,-7.693,0,0.0771,0.282,0,0.14,0.272,119.311
JAY-Z,I Just Wanna Love U (Give It 2 Me),227866,hip hop,2000,59,0.8,0.922,4,-5.125,0,0.24,0.301,9.31E-06,0.0352,0.801,98.631
Mariah Carey,Thank God I Found You (feat. Joe & 98°),257360,pop; R&B,1999,59,0.348,0.532,10,-5.882,1,0.0331,0.592,0,0.106,0.148,129.297
Baha Men,Who Let The Dogs Out,198400,R&B,2000,65,0.869,0.887,0,-4.505,1,0.0993,0.0605,0,0.148,0.784,129.221
Donell Jones,"U Know What's Up (feat. Lisa ""Left Eye"" Lopes)",243733,pop; R&B,1999,63,0.854,0.543,8,-6.166,0,0.0844,0.0402,5.73E-05,0.0419,0.868,103.032
LeAnn Rimes,Can't Fight The Moonlight,215506,pop; country,2001,65,0.628,0.834,6,-6.341,0,0.0497,0.403,0,0.051,0.626,97.865
Oasis,Go Let It Out,278666,Folk/Acoustic; rock,2000,0,0.408,0.849,2,-5.631,1,0.0333,0.0136,2.51E-05,0.56,0.628,84.192
DJ Ötzi,Hey Baby (Radio Mix),219240,pop; easy listening; Dance/Electronic,2010,58,0.666,0.968,10,-3.196,1,0.046,0.123,0,0.347,0.834,135.099
P!nk,Most Girls,298960,pop,2000,52,0.742,0.732,2,-6.046,0,0.0311,0.0424,0.00446,0.101,0.694,97.922
Mariah Carey,Against All Odds (Take A Look at Me Now) (feat. Westlife),199480,pop; R&B,2011,0,0.471,0.514,1,-5.599,1,0.0315,0.584,0,0.103,0.373,117.338
Craig David,Fill Me In,257200,hip hop; pop; R&B,2000,60,0.682,0.744,8,-6.981,1,0.0365,0.376,0.00951,0.06,0.827,132.493
Christina Aguilera,I Turn to You,273706,pop,1999,61,0.599,0.47,1,-8.356,1,0.0376,0.38,0,0.111,0.298,127.177
Madonna,American Pie,273533,pop,2000,58,0.631,0.734,5,-7.48,0,0.036,0.348,0,0.135,0.591,124.036
Red Hot Chili Peppers,Otherside,255373,rock,1999,78,0.458,0.795,0,-3.265,1,0.0574,0.00316,0.000202,0.0756,0.513,123.229
Sammie,I Like It,251040,hip hop; pop; R&B,2000,55,0.826,0.656,9,-8.529,1,0.0617,0.0101,0.000113,0.0272,0.852,129.963
Craig David,7 Days,235133,hip hop; pop; R&B,2000,70,0.659,0.812,4,-7.499,0,0.0487,0.23,0,0.0951,0.888,83.014
Santana,Maria Maria (feat. The Product G&B),261973,rock; blues; latin,1999,66,0.777,0.601,2,-5.931,1,0.126,0.0406,0.00201,0.0348,0.68,97.911
Kandi,Don't Think I'm Not,243533,pop; R&B,2000,55,0.859,0.622,11,-8.196,1,0.0445,0.0661,0,0.0394,0.433,134.007
P!nk,There You Go,202800,pop,2000,55,0.822,0.847,10,-6.729,0,0.0917,0.0854,0,0.0452,0.668,107.908
Vengaboys,Shalala Lala,214819,pop,2000,58,0.751,0.901,2,-5.802,1,0.0328,0.0504,0.00308,0.0395,0.973,124.017
Ronan Keating,Life Is A Rollercoaster,234826,pop; rock,2000,59,0.655,0.791,0,-8.923,1,0.0302,0.1,0.000124,0.334,0.862,118.981
Madison Avenue,Don't Call Me Baby,228140,Dance/Electronic,1999,56,0.808,0.982,3,-6.588,0,0.0311,0.0585,0.00689,0.35,0.961,124.999
Destiny's Child,Jumpin'- Jumpin',230200,pop; R&B,1999,70,0.771,0.685,1,-4.639,1,0.0567,0.00543,0.00157,0.0537,0.683,88.997
Céline Dion,That's the Way It Is,241373,pop,1999,64,0.634,0.886,9,-5.424,1,0.0434,0.154,0,0.118,0.577,93.04
3 Doors Down,Kryptonite,233933,pop; rock; metal,2000,78,0.545,0.865,11,-5.708,0,0.0286,0.00664,1.10E-05,0.168,0.543,99.009
Carl Thomas,I Wish,226760,pop; R&B,2000,52,0.736,0.666,1,-4.929,1,0.0337,0.0593,3.82E-05,0.107,0.224,89.824
Mystikal,Shake Ya Ass,256973,hip hop; pop,2000,57,0.914,0.607,7,-5.658,1,0.32,0.0626,0,0.0515,0.666,98.054
Fuel,Hemorrhage (In My Hands),236866,rock; pop; metal,2000,49,0.313,0.831,1,-3.894,1,0.0404,0.000127,0.000341,0.24,0.332,152.034
Donell Jones,Where I Wanna Be,253626,pop; R&B,1999,57,0.664,0.396,5,-9.131,0,0.0298,0.52,0,0.268,0.453,102.053
Savage Garden,Crash and Burn,281466,pop,1999,54,0.581,0.607,4,-8.458,1,0.028,0.189,1.60E-06,0.0882,0.213,102.03
Westlife,My Love,231760,pop,2000,68,0.491,0.593,0,-5.975,1,0.0255,0.098,0,0.257,0.328,144.142
All Saints,Pure Shores,268746,pop,2000,62,0.631,0.664,6,-9.197,1,0.0242,0.0498,0.00042,0.0696,0.407,100.618
Destiny's Child,Independent Women- Pt. 1,221133,pop; R&B,2001,65,0.73,0.602,6,-3.782,0,0.206,0.362,3.69E-06,0.169,0.927,97.954
*NSYNC,It's Gonna Be Me,191040,pop,2000,60,0.644,0.874,0,-4.666,0,0.0801,0.0459,2.24E-06,0.0584,0.882,165.09
Erykah Badu,Bag Lady,348893,hip hop; R&B,2000,54,0.724,0.416,5,-8.964,0,0.0841,0.365,0,0.0969,0.578,151.181
Marc Anthony,You Sang To Me,347106,pop; latin,1999,56,0.578,0.894,10,-5.42,1,0.0296,0.0103,2.66E-06,0.216,0.741,165.98
Matchbox Twenty,Bent,256133,pop; rock,2000,54,0.518,0.83,6,-6.814,0,0.0386,0.0404,3.85E-06,0.375,0.527,95.468
Gabrielle,Rise,219093,pop; R&B,2001,60,0.558,0.481,8,-9.487,1,0.026,0.315,8.83E-06,0.09,0.631,144.673
Backstreet Boys,Shape of My Heart,230093,pop,2000,70,0.575,0.786,9,-4.353,1,0.0296,0.252,0,0.159,0.518,96.102
Creed,With Arms Wide Open,274800,pop; rock; metal,1999,64,0.41,0.539,0,-8.412,1,0.0302,0.00425,0.00089,0.117,0.141,138.852
The Corrs,Breathless,207506,pop; Folk/Acoustic,2000,68,0.607,0.82,11,-7.754,1,0.0597,0.0541,6.80E-05,0.269,0.768,126.988
Joe,I Wanna Know,296693,pop; R&B,2000,65,0.725,0.487,8,-5.959,0,0.0368,0.26,1.09E-05,0.431,0.599,136.086
Wheatus,Teenage Dirtbag,241666,set(),1999,71,0.625,0.85,4,-3.904,1,0.0495,0.346,0.000233,0.174,0.633,94.661
Christina Aguilera,Come on over Baby (All I Want Is You) - Radio Version,203333,pop,1999,64,0.829,0.915,8,-3.205,1,0.106,0.226,1.25E-05,0.246,0.779,118.903
Creed,Higher,316733,pop; rock; metal,1999,69,0.459,0.83,2,-6.254,1,0.0364,5.15E-05,0.00014,0.206,0.431,155.827
Britney Spears,Lucky,206226,pop,2000,65,0.765,0.791,8,-5.707,1,0.0317,0.262,0.000154,0.0669,0.966,95.026
Nelly,Country Grammar (Hot Shit),287000,hip hop; pop; R&B,2000,68,0.865,0.664,2,-6.822,1,0.108,0.00689,0,0.142,0.565,162.831
Shaggy,It Wasn't Me,227600,hip hop; pop,2000,76,0.853,0.606,0,-4.596,1,0.0713,0.0561,0,0.313,0.654,94.759
Destiny's Child,Survivor,254026,pop; R&B,2001,70,0.514,0.911,1,-2.027,0,0.41,0.0559,0,0.775,0.619,161.109
Eminem,Stan,404106,hip hop,2000,83,0.78,0.768,6,-4.325,0,0.238,0.0371,2.34E-06,0.518,0.507,80.063
Kylie Minogue,Can't Get You out of My Head,230640,pop; Dance/Electronic,2001,73,0.766,0.563,9,-7.516,0,0.0339,0.0263,0.683,0.115,0.964,126.007
Christina Aguilera,"Lady Marmalade - From ""Moulin Rouge"" Soundtrack",264893,pop,2001,68,0.76,0.801,5,-3.769,1,0.0534,0.0144,1.49E-05,0.665,0.653,109.919
Nelly Furtado,I'm Like A Bird,243160,hip hop; pop; latin,2000,1,0.622,0.608,10,-5.085,1,0.036,0.138,5.38E-06,0.273,0.607,89.661
Shakira,Whenever- Wherever,196160,pop; latin,2001,74,0.794,0.832,1,-4.862,0,0.0407,0.237,1.14E-05,0.203,0.871,107.657
Jimmy Eat World,The Middle,165853,rock; pop,2001,78,0.643,0.849,2,-5.428,1,0.0526,0.0371,0,0.058,0.903,162.152
Train,Drops of Jupiter (Tell Me),259933,pop,2001,77,0.481,0.638,0,-5.862,1,0.0276,0.153,0,0.154,0.497,79.064
Geri Halliwell,It's Raining Men,254640,pop,2001,62,0.637,0.929,5,-6.03,0,0.0447,0.063,0.00796,0.318,0.604,136.482
Blu Cantrell,Hit 'Em Up Style (Oops!),250706,pop; R&B,2001,71,0.667,0.773,5,-4.983,0,0.0586,0.201,0,0.404,0.667,89.976
Britney Spears,I'm a Slave 4 U,203600,pop,2001,69,0.847,0.843,5,-3.579,0,0.106,0.415,0.000134,0.107,0.963,110.027
Kylie Minogue,In Your Eyes,197826,pop; Dance/Electronic,2001,62,0.689,0.894,6,-6.342,0,0.0672,0.133,4.72E-05,0.0681,0.709,123.971
Missy Elliott,One Minute Man (feat. Ludacris),252986,hip hop; pop; R&B,2001,57,0.622,0.669,9,-8.419,1,0.329,0.0266,2.97E-06,0.152,0.57,93.839
Mary J. Blige,Family Affair,265866,pop; R&B,2001,76,0.911,0.551,8,-3.75,0,0.0449,0.132,4.12E-05,0.0863,0.969,92.887
Faithless,We Come 1 - Radio Edit,222435,pop; Dance/Electronic,2015,53,0.645,0.903,5,-10.587,0,0.0441,0.00188,0.799,0.147,0.61,135.977
Limp Bizkit,Rollin' (Air Raid Vehicle),213760,metal,2000,73,0.603,0.933,1,-3.358,1,0.171,0.00591,0,0.206,0.709,96.306
Lasgo,Something,220973,pop,2001,65,0.643,0.981,7,-6.644,0,0.0439,0.0271,8.93E-05,0.11,0.38,140.01
iio,Rapture (feat.Nadia Ali),253586,Dance/Electronic,2006,54,0.661,0.855,8,-8.403,1,0.0377,0.0722,0.0185,0.199,0.601,123.943
Emma Bunton,What Took You So Long?,241000,pop,2001,54,0.668,0.772,9,-5.4,0,0.0307,0.123,0,0.341,0.911,118.011
112,It's Over Now,264933,hip hop; pop; R&B,2001,57,0.66,0.71,1,-4.541,1,0.0409,0.0106,7.01E-06,0.0736,0.233,97.988
Blue,All Rise,223546,pop,2001,63,0.721,0.737,5,-2.734,0,0.0324,0.121,0,0.165,0.931,97.996
Jessica Simpson,Irresistible,194026,pop; R&B,2001,43,0.657,0.965,8,-2.771,0,0.0556,0.0285,8.84E-05,0.0552,0.669,93.013
Crazy Town,Butterfly,216733,rock; metal,1999,71,0.736,0.811,9,-4.17,0,0.081,0.00132,0.000142,0.107,0.609,103.502
Michael Jackson,You Rock My World,337733,pop; R&B,2001,64,0.854,0.673,4,-3.132,0,0.185,0.038,0.000227,0.255,0.955,95
Eve,Let Me Blow Ya Mind,230133,hip hop; pop; R&B,2001,73,0.908,0.557,8,-4.243,0,0.107,0.242,0,0.0709,0.897,90.032
Jennifer Lopez,Ain't It Funny,246160,hip hop; pop; R&B,2001,0,0.707,0.869,5,-4.525,0,0.0481,0.104,0.000121,0.0813,0.621,99.825
Brandy,Another Day in Paradise - R&B-Version,271626,hip hop; pop; R&B,2002,50,0.7,0.787,6,-5.176,0,0.0327,0.00666,3.68E-05,0.0724,0.556,102.043
Nickelback,How You Remind Me,223840,rock; metal,2001,78,0.446,0.764,10,-5.042,1,0.033,0.00135,0,0.099,0.543,172.094
Daft Punk,One More Time,320357,hip hop; Dance/Electronic,2001,76,0.613,0.697,2,-8.618,1,0.133,0.0194,0,0.332,0.476,122.746
Outkast,Ms. Jackson,270506,hip hop; pop,2000,82,0.843,0.806,4,-5.946,0,0.269,0.143,0,0.0771,0.613,94.948
Fragma,Everytime You Need Me - Radio Version,213346,pop; Dance/Electronic,2001,50,0.682,0.917,11,-5.459,0,0.0318,0.15,0.0676,0.34,0.79,137.029
Mariah Carey,Loverboy,229173,pop; R&B,2001,42,0.721,0.79,1,-4.125,1,0.124,0.183,0,0.1,0.821,103.141
Dido,Thank You,218360,pop,1999,73,0.725,0.583,1,-9.942,0,0.0427,0.3,0.000238,0.0665,0.762,79.984
Joe,Stutter (feat. Mystikal) - Double Take Remix,213026,pop; R&B,2000,57,0.767,0.759,6,-6.516,1,0.117,0.0513,0,0.31,0.677,89.989
P.O.D.,Youth of the Nation,256240,rock; metal,2001,69,0.563,0.86,8,-7.533,1,0.0621,0.00834,0.0106,0.39,0.517,97.867
Jennifer Lopez,Play,211493,hip hop; pop; R&B,2001,57,0.775,0.729,1,-4.229,0,0.162,0.0303,0.00247,0.0361,0.895,104.719
Missy Elliott,Get Ur Freak On,211120,hip hop; pop; R&B,2001,68,0.797,0.75,0,-9.369,1,0.247,0.533,0.108,0.095,0.74,177.87
Ricky Martin,Nobody Wants to Be Lonely (with Christina Aguilera),252706,pop; latin,2008,52,0.635,0.854,10,-5.02,0,0.0612,0.00579,0.0083,0.0623,0.59,100.851
Christina Milian,AM To PM,231213,hip hop; pop; R&B,2001,60,0.872,0.868,10,-3.036,0,0.12,0.153,2.26E-05,0.843,0.822,105.005
Roger Sanchez,Another Chance,452906,Dance/Electronic,2000,50,0.61,0.82,3,-10.029,1,0.0312,0.000211,0.146,0.138,0.45,127.993
Gorillaz,Clint Eastwood,340920,hip hop,2001,74,0.663,0.694,10,-8.627,0,0.171,0.0253,0,0.0698,0.525,167.953
2Pac,Until The End Of Time,266506,hip hop,2001,57,0.757,0.706,8,-6.665,1,0.203,0.0267,0,0.197,0.375,96.976
Tamia,Stranger in My House,285386,pop; R&B,2000,48,0.676,0.601,0,-4.905,1,0.0297,0.103,0,0.147,0.206,119.94
Mary J. Blige,No More Drama,326240,pop; R&B,2001,61,0.653,0.837,6,-6.818,0,0.124,0.534,7.12E-05,0.0784,0.64,97.914
Jennifer Lopez,Love Don't Cost a Thing,221226,hip hop; pop; R&B,2001,67,0.786,0.842,4,-5.115,0,0.0707,0.00305,3.54E-06,0.473,0.685,97.577
Jamiroquai,Little L,295400,pop,2001,65,0.878,0.724,10,-5.373,0,0.129,0.168,0.0116,0.133,0.904,121.906
Case,Missing You,284666,hip hop; pop; R&B,2001,55,0.612,0.579,1,-6.417,0,0.0553,0.285,0,0.0556,0.716,86.31
112,Peaches & Cream,193093,hip hop; pop; R&B,2001,63,0.677,0.52,4,-6.255,0,0.334,0.00277,0,0.0532,0.768,203.862
Five,Let's Dance - Radio Edit,218626,pop,2001,47,0.631,0.821,4,-7.853,0,0.0867,0.00876,0.000247,0.293,0.547,118.007
Rui Da Silva,Touch Me (Radio Edit) [feat. Cassandra],213133,Dance/Electronic,2001,54,0.464,0.922,0,-8.399,1,0.0638,0.124,0.227,0.0546,0.695,129.078
Alien Ant Farm,Smooth Criminal,209266,rock; metal,2001,75,0.653,0.964,9,-4.261,0,0.0582,0.00316,0.00512,0.144,0.87,126.928
Erick Sermon,Music (feat. Marvin Gaye),223133,hip hop; pop,2001,57,0.897,0.466,10,-9.053,0,0.203,0.187,1.35E-06,0.0757,0.884,100.01
D12,Purple Pills,304506,hip hop; pop; rock,2001,68,0.78,0.634,1,-5.941,1,0.16,0.0199,2.98E-05,0.29,0.754,125.25
Usher,Pop Ya Collar - Radio Edit,210813,hip hop; pop; R&B,2016,26,0.888,0.8,5,-3.944,0,0.0946,0.0901,2.12E-05,0.229,0.866,106.957
Madonna,Don't Tell Me,280973,pop,2000,53,0.699,0.618,7,-7.338,1,0.0594,0.0502,0.000925,0.0914,0.679,99.965
Blue,If You Come Back,207560,pop,2001,58,0.582,0.707,10,-4.487,1,0.0319,0.0822,0,0.0467,0.701,78.375
Atomic Kitten,Eternal Flame - Single Version,195506,pop,2001,58,0.578,0.581,0,-6.867,1,0.0318,0.0658,0.0042,0.0674,0.408,83.293
Jagged Edge,Where the Party At (feat. Nelly),232573,hip hop; pop; R&B,2001,67,0.596,0.661,5,-6.239,0,0.226,0.31,0,0.0847,0.86,129.491
Afroman,Because I Got High,197760,hip hop,2001,68,0.802,0.341,7,-8.56,1,0.488,0.169,0,0.0783,0.849,166.01
S Club 7,Don't Stop Movin',233626,pop,2001,63,0.822,0.672,7,-6.133,1,0.0329,0.0285,0,0.213,0.91,117.033
Craig David,Fill Me In,257200,hip hop; pop; R&B,2000,60,0.682,0.744,8,-6.981,1,0.0365,0.376,0.00951,0.06,0.827,132.493
Nelly Furtado,Turn Off The Light,276106,hip hop; pop; latin,2000,1,0.587,0.679,2,-6.26,1,0.0927,0.0839,0.000316,0.413,0.65,180.184
The Supermen Lovers,Starlight - Radio Edit,234400,Dance/Electronic,2001,61,0.739,0.679,0,-5.079,1,0.0373,0.000424,0.0187,0.389,0.786,127.487
Mis-Teeq,All I Want - Sunship Radio Edit,207400,pop; Dance/Electronic,2004,46,0.795,0.919,9,-3.07,0,0.0835,0.37,0.00863,0.189,0.96,134.079
Jagged Edge,Promise,246720,hip hop; pop; R&B,2000,56,0.751,0.568,5,-5.431,0,0.0872,0.136,0,0.0288,0.646,128.002
S Club 7,Have You Ever,201533,pop,2001,60,0.585,0.702,0,-5.734,1,0.0325,0.538,0,0.216,0.51,139.909
Enya,Only Time,218546,World/Traditional; Folk/Acoustic,2000,69,0.418,0.249,3,-13.744,1,0.0301,0.841,0.661,0.112,0.213,82.803
Faith Hill,There You'll Be,222120,pop; country,2001,60,0.321,0.511,8,-7.77,1,0.0306,0.513,0,0.127,0.17,128.98
Ronan Keating,Lovin' Each Day,212973,pop; rock,2000,58,0.541,0.899,1,-6.261,1,0.0633,0.0178,2.95E-06,0.286,0.829,106.676
Destiny's Child,Bootylicious,207906,pop; R&B,2001,64,0.84,0.835,1,-4.386,0,0.275,0.00281,1.11E-06,0.152,0.637,103.376
Steps,It's the Way You Make Me Feel,197360,pop; Dance/Electronic,2000,53,0.573,0.665,8,-5.081,1,0.0239,0.108,2.09E-06,0.095,0.347,105.006
Sunshine Anderson,Heard It All Before,295826,pop; R&B,2001,56,0.697,0.925,3,-4.209,0,0.216,0.0614,0,0.095,0.678,96.951
Lenny Kravitz,Again,231666,rock; pop,2000,68,0.55,0.804,2,-5.218,1,0.0271,0.0148,4.33E-05,0.105,0.789,79.166
Daniel Bedingfield,Gotta Get Thru This - D'N'D Radio Edit,162333,pop,2002,46,0.836,0.762,7,-5.044,0,0.0598,0.0826,5.48E-05,0.102,0.941,133.592
DB Boulevard,Point Of View - Radio Edit,231166,Dance/Electronic,2018,0,0.676,0.715,6,-6.854,1,0.0287,0.00284,0.0746,0.0685,0.275,129.006
Janet Jackson,All For You,329933,pop; R&B,2001,65,0.753,0.934,2,-3.011,1,0.0736,0.0174,0.065,0.128,0.73,113.525
Atomic Kitten,Whole Again,185013,pop,2001,66,0.747,0.706,4,-4.653,1,0.0413,0.0844,0.00355,0.174,0.567,94.019
Ja Rule,Livin' It Up,257066,hip hop; pop; R&B,2001,64,0.874,0.768,6,-4.086,1,0.311,0.0554,0,0.041,0.636,106.095
Destiny's Child,Independent Women- Pt. 1,221133,pop; R&B,2001,65,0.73,0.602,6,-3.782,0,0.206,0.362,3.69E-06,0.169,0.927,97.954
DJ Pied Piper & The Masters Of Ceremonies,Do You Really Like It? - Radio Edit,217120,Dance/Electronic,2001,54,0.847,0.877,2,-5.424,1,0.0493,0.124,0,0.148,0.764,131.044
Jennifer Lopez,I'm Real (feat. Ja Rule) - Murder Remix,262133,hip hop; pop; R&B,2001,66,0.708,0.587,11,-7.93,0,0.151,0.273,0,0.0718,0.554,83.46
Musiq Soulchild,Love,304666,pop; R&B,2000,0,0.569,0.385,1,-9.919,0,0.0499,0.342,0,0.0876,0.339,99.738
So Solid Crew,21 Seconds,302826,Dance/Electronic,2001,51,0.607,0.637,1,-11.072,1,0.241,0.0191,0,0.124,0.818,137.03
